ENSEMBL,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000004187,77.1173417690051,1.1918680182525017,0.25013612860497003,4.764877528486783,1.889683922020099e-6,2.7143106967055582e-5
ENSMUSG00000004558,23.621448180902494,2.667064543340912,0.9434860224991257,2.826819348395152,0.004701284141533895,0.024573651964957425
ENSMUSG00000004612,9.23805040863848,3.4816694728671367,0.8994390232705248,3.8709344188860624,1.0841895963312048e-4,0.001031466379309038
ENSMUSG00000004633,12.888663048911354,2.0163716622483836,0.6280861894851433,3.210342300156687,0.0013257699244077258,0.00881721699221937
ENSMUSG00000004642,1470.8711826058095,-1.466212717244982,0.172009111422374,-8.524040994808983,1.5408105388889034e-17,9.097221387666753e-16
ENSMUSG00000004655,15.764064381276146,1.7056382618937571,0.5460904941337944,3.123361933994531,0.001787977295566111,0.011237496958691487
ENSMUSG00000004880,542.4292063045024,-1.576027864812163,0.3276849365034326,-4.809582892729809,1.512455662740735e-6,2.2093693170863367e-5
ENSMUSG00000004929,450.668633996187,-1.0206177404511068,0.18468177849539053,-5.526358630321401,3.269454750246032e-8,6.415331895348837e-7
ENSMUSG00000004952,153.98773171299928,1.038220005405094,0.32436341880462494,3.2007925222617324,0.0013705017779931346,0.009062906943138152
ENSMUSG00000004988,18.520383562704414,1.2595192879228854,0.4233389086740463,2.9752032287036103,0.002927945016987659,0.016874074735139542
ENSMUSG00000005045,1468.98296561394,1.010263592549793,0.2741459810533199,3.6851300488454077,2.2858589189548749e-4,0.0019462765199314883
ENSMUSG00000005148,9.1080502229086715,-2.1037516247239223,0.611345279068023,-3.441184052211913,5.791744243988445e-4,0.004365659657082602
ENSMUSG00000005233,499.67541114102914,-2.687859642903618,0.20991987843472643,-12.804216841900445,1.5528452509385402e-37,4.325876932156815e-35
ENSMUSG00000005370,612.3452120212303,-1.3940865689770403,0.17007777136700156,-8.196759387026638,2.4695406112406596e-16,1.2820221456621786e-14
ENSMUSG00000005374,521.0913240886525,-1.2350393821115764,0.2589191456604939,-4.769980910299364,1.8424337864061933e-6,2.6502907535511345e-5
ENSMUSG00000005410,1504.8283249581602,-2.748256698307932,0.167014926820638,-16.455156138584915,7.702300321251228e-61,9.521487378376752e-58
ENSMUSG00000005470,901.8723498052019,-2.8617538027553433,0.184376281070705,-15.521268712746798,2.4907714238170547e-54,2.1419551300729356e-51
ENSMUSG00000005481,1121.3033225268775,-1.08143296759321,0.1513301868317415,-7.146181407914442,8.922512997667493e-13,3.1401847790189563e-11
ENSMUSG00000005583,78.20263466424538,1.1143846105454245,0.3063568508795271,3.6375377516321623,2.7525685728078784e-4,0.002285602594524225
ENSMUSG00000005667,454.3243757351973,-1.5508440811259834,0.16919261051830004,-9.166145473937483,4.9023515788862645e-20,3.743768798408936e-18
ENSMUSG00000005732,1973.5373113930095,-1.2952411906448777,0.09289070039125599,-13.943712182051774,3.435940074888838e-44,1.6989864685306583e-41
ENSMUSG00000006356,91.73089784669004,1.2607098372995666,0.45332269336984776,2.781042854766161,0.005418458388405659,0.027571826206399676
ENSMUSG00000006378,72.92847566045184,-2.8717237781074014,0.30297580112063405,-9.478393216506372,2.5822855124558843e-21,2.280135051377899e-19
ENSMUSG00000006398,537.807953247943,-1.9273887998524328,0.2678660549543752,-7.195345450474189,6.230282145524506e-13,2.2203378478617872e-11
ENSMUSG00000006494,886.5028730650805,-1.2508832044660112,0.26472300596953297,-4.725253099498182,2.2982892280844098e-6,3.2554544877679536e-5
ENSMUSG00000006576,4.601920518428988,2.63258062247791,0.9216478738336497,2.8563844145026156,0.004284959891251229,0.022801243392267436
ENSMUSG00000006585,1043.4788580519373,-1.4978414711558923,0.1564237143746351,-9.575539598609447,1.0132679571685444e-21,9.151336495359196e-20
ENSMUSG00000006678,833.165315205707,-1.668051334357083,0.19937741170667,-8.366300475457923,5.945546475271104e-17,3.3032854981569426e-15
ENSMUSG00000006715,657.6191957797033,-1.7145053389917515,0.1963614770006237,-8.731373206091263,2.5159897474936517e-18,1.600120939410834e-16
